"term","estimate","std.error","statistic","p.value","conf.low","conf.high","OR","CI_low","CI_high","gene","bonferroni_corrected"
"fosB1",-2.16282315060487,0.394817934429316,-5.47802660922963,4.30095466644316e-08,-2.9606316752303,-1.39890251226332,0.115000000001612,0.0517861947823364,0.246867749650252,"39",5.29017423972509e-06
"sem1",-2.16558749236714,0.738055857541864,-2.9341783148768,0.00334432017298767,-3.99662847638224,-0.947528935161089,0.11468253968551,0.0183774947134149,0.387697867324058,"25",0.411351381277484
"(Intercept)",-2.21920348405497,0.19224079103856,-11.5438740761831,7.92727252137482e-31,-2.6164366581429,-1.86014832021681,0.108695652173916,0.0730627470690757,0.155649542681937,"7",9.75054520129103e-29
"(Intercept)",-2.21920348405501,0.192240791038556,-11.5438740761836,7.92727252132995e-31,-2.6164366581429,-1.86014832021681,0.108695652173911,0.0730627470690758,0.155649542681937,"6",9.75054520123584e-29
"(Intercept)",-2.26868354131835,0.191785320594154,-11.8292866956132,2.75472726835556e-32,-2.66513206410885,-1.91063812589888,0.103448275862071,0.0695901625635801,0.147985922808759,"45",3.38831454007734e-30
"(Intercept)",-2.30945797228182,0.194698269522193,-11.861728293474,1.8707328243216e-32,-2.71244001834801,-1.94639356817977,0.0993150684931497,0.0663746535945596,0.142788099671963,"44",2.30100137391557e-30
"(Intercept)",-2.33422217793724,0.197925474173343,-11.7934398676389,4.21947734839993e-32,-2.74437646367994,-1.96553033755477,0.0968858131487877,0.0642883745860312,0.140081576392114,"25",5.18995713853192e-30
"(Intercept)",-2.33648664466974,0.194463600588957,-12.0150333409101,2.96250133078689e-33,-2.73906514006722,-1.97394331139275,0.0966666666666653,0.0646307393481696,0.138908017237827,"31",3.64387663686788e-31
"(Intercept)",-2.33648664466974,0.194463600588957,-12.0150333409101,2.96250133078689e-33,-2.73906514006722,-1.97394331139275,0.0966666666666653,0.0646307393481696,0.138908017237827,"32",3.64387663686788e-31
"(Intercept)",-2.33981443476242,0.194435124802343,-12.0339081590377,2.35732040968839e-33,-2.7423439577211,-1.97733432460979,0.096345514950164,0.0644191739706976,0.138437776063047,"33",2.89950410391672e-31
"(Intercept)",-2.35454483192479,0.191044210316249,-12.3246071054817,6.67681078254362e-35,-2.74971610579321,-1.99814176658508,0.0949367088607566,0.0639460125325629,0.135587001585431,"63",8.21247726252865e-33
"(Intercept)",-2.36399372112272,0.190966304806839,-12.3791143338814,3.39063733604318e-35,-2.75903069822377,-2.00776324917199,0.0940438871473329,0.0633531469255035,0.134288709374161,"64",4.17048392333312e-33
